Date,SKU,Category,Sales
2025-09-01,HOM-SKU-1000,Home & Garden,17
2025-09-02,HOM-SKU-1000,Home & Garden,26
2025-09-03,HOM-SKU-1000,Home & Garden,0
2025-09-04,HOM-SKU-1000,Home & Garden,24
2025-09-05,HOM-SKU-1000,Home & Garden,17
2025-09-06,HOM-SKU-1000,Home & Garden,15
2025-09-07,HOM-SKU-1000,Home & Garden,13
2025-09-08,HOM-SKU-1000,Home & Garden,23
2025-09-09,HOM-SKU-1000,Home & Garden,24
2025-09-10,HOM-SKU-1000,Home & Garden,23
2025-09-11,HOM-SKU-1000,Home & Garden,24
2025-09-12,HOM-SKU-1000,Home & Garden,16
2025-09-13,HOM-SKU-1000,Home & Garden,15
2025-09-14,HOM-SKU-1000,Home & Garden,21
2025-09-15,HOM-SKU-1000,Home & Garden,18
2025-09-16,HOM-SKU-1000,Home & Garden,22
2025-09-17,HOM-SKU-1000,Home & Garden,22
2025-09-18,HOM-SKU-1000,Home & Garden,0
2025-09-19,HOM-SKU-1000,Home & Garden,22
2025-09-20,HOM-SKU-1000,Home & Garden,14
2025-09-21,HOM-SKU-1000,Home & Garden,19
2025-09-22,HOM-SKU-1000,Home & Garden,0
2025-09-23,HOM-SKU-1000,Home & Garden,26
2025-09-24,HOM-SKU-1000,Home & Garden,24
2025-09-25,HOM-SKU-1000,Home & Garden,27
2025-09-26,HOM-SKU-1000,Home & Garden,19
2025-09-27,HOM-SKU-1000,Home & Garden,19
2025-09-28,HOM-SKU-1000,Home & Garden,20
2025-09-29,HOM-SKU-1000,Home & Garden,27
2025-09-30,HOM-SKU-1000,Home & Garden,28
2025-10-01,HOM-SKU-1000,Home & Garden,30
2025-10-02,HOM-SKU-1000,Home & Garden,24
2025-10-03,HOM-SKU-1000,Home & Garden,20
2025-10-04,HOM-SKU-1000,Home & Garden,20
2025-10-05,HOM-SKU-1000,Home & Garden,16
2025-10-06,HOM-SKU-1000,Home & Garden,25
2025-10-07,HOM-SKU-1000,Home & Garden,0
2025-10-08,HOM-SKU-1000,Home & Garden,0
2025-10-09,HOM-SKU-1000,Home & Garden,27
2025-10-10,HOM-SKU-1000,Home & Garden,20
2025-10-11,HOM-SKU-1000,Home & Garden,23
2025-10-12,HOM-SKU-1000,Home & Garden,19
2025-10-13,HOM-SKU-1000,Home & Garden,27
2025-10-14,HOM-SKU-1000,Home & Garden,31
2025-10-15,HOM-SKU-1000,Home & Garden,27
2025-10-16,HOM-SKU-1000,Home & Garden,23
2025-10-17,HOM-SKU-1000,Home & Garden,19
2025-10-18,HOM-SKU-1000,Home & Garden,0
2025-10-19,HOM-SKU-1000,Home & Garden,21
2025-10-20,HOM-SKU-1000,Home & Garden,29
2025-10-21,HOM-SKU-1000,Home & Garden,29
2025-10-22,HOM-SKU-1000,Home & Garden,28
2025-10-23,HOM-SKU-1000,Home & Garden,21
2025-10-24,HOM-SKU-1000,Home & Garden,19
2025-10-25,HOM-SKU-1000,Home & Garden,0
