date,product_name,sku_number,quantity_sold
2025-01-01,Rice 5kg,SKU1001,18
2025-01-01,Wheat Flour 5kg,SKU1002,15
2025-01-01,Sugar 1kg,SKU1003,22
2025-01-01,Sunflower Oil 1L,SKU1004,9
2025-01-01,Milk 1L,SKU1005,41
2025-01-01,Tea Powder 500g,SKU1006,10
2025-01-01,Toothpaste 150g,SKU1007,7
2025-01-01,Bath Soap,SKU1008,18
2025-01-01,Shampoo Sachet,SKU1009,45
2025-01-01,Biscuit Pack,SKU1010,43
2025-01-02,Rice 5kg,SKU1001,18
2025-01-02,Wheat Flour 5kg,SKU1002,15
2025-01-02,Sugar 1kg,SKU1003,25
2025-01-02,Sunflower Oil 1L,SKU1004,10
2025-01-02,Milk 1L,SKU1005,40
2025-01-02,Tea Powder 500g,SKU1006,10
2025-01-02,Toothpaste 150g,SKU1007,14
2025-01-02,Bath Soap,SKU1008,16
2025-01-02,Shampoo Sachet,SKU1009,53
2025-01-02,Biscuit Pack,SKU1010,37
2025-01-03,Rice 5kg,SKU1001,17
2025-01-03,Wheat Flour 5kg,SKU1002,17
2025-01-03,Sugar 1kg,SKU1003,25
2025-01-03,Sunflower Oil 1L,SKU1004,13
2025-01-03,Milk 1L,SKU1005,34
2025-01-03,Tea Powder 500g,SKU1006,11
2025-01-03,Toothpaste 150g,SKU1007,11
2025-01-03,Bath Soap,SKU1008,20
2025-01-03,Shampoo Sachet,SKU1009,47
2025-01-03,Biscuit Pack,SKU1010,34
2025-01-04,Rice 5kg,SKU1001,17
2025-01-04,Wheat Flour 5kg,SKU1002,19
2025-01-04,Sugar 1kg,SKU1003,24
2025-01-04,Sunflower Oil 1L,SKU1004,13
2025-01-04,Milk 1L,SKU1005,42
2025-01-04,Tea Powder 500g,SKU1006,11
2025-01-04,Toothpaste 150g,SKU1007,7
2025-01-04,Bath Soap,SKU1008,24
2025-01-04,Shampoo Sachet,SKU1009,60
2025-01-04,Biscuit Pack,SKU1010,42
2025-01-05,Rice 5kg,SKU1001,23
2025-01-05,Wheat Flour 5kg,SKU1002,17
2025-01-05,Sugar 1kg,SKU1003,30
2025-01-05,Sunflower Oil 1L,SKU1004,15
2025-01-05,Milk 1L,SKU1005,48
2025-01-05,Tea Powder 500g,SKU1006,5
2025-01-05,Toothpaste 150g,SKU1007,17
2025-01-05,Bath Soap,SKU1008,22
2025-01-05,Shampoo Sachet,SKU1009,62
2025-01-05,Biscuit Pack,SKU1010,44
2025-01-06,Rice 5kg,SKU1001,21
2025-01-06,Wheat Flour 5kg,SKU1002,15
2025-01-06,Sugar 1kg,SKU1003,18
2025-01-06,Sunflower Oil 1L,SKU1004,14
2025-01-06,Milk 1L,SKU1005,45
2025-01-06,Tea Powder 500g,SKU1006,6
2025-01-06,Toothpaste 150g,SKU1007,11
2025-01-06,Bath Soap,SKU1008,22
2025-01-06,Shampoo Sachet,SKU1009,50
2025-01-06,Biscuit Pack,SKU1010,32
2025-01-07,Rice 5kg,SKU1001,18
2025-01-07,Wheat Flour 5kg,SKU1002,17
2025-01-07,Sugar 1kg,SKU1003,28
2025-01-07,Sunflower Oil 1L,SKU1004,17
2025-01-07,Milk 1L,SKU1005,40
2025-01-07,Tea Powder 500g,SKU1006,8
2025-01-07,Toothpaste 150g,SKU1007,14
2025-01-07,Bath Soap,SKU1008,20
2025-01-07,Shampoo Sachet,SKU1009,48
2025-01-07,Biscuit Pack,SKU1010,41
2025-01-08,Rice 5kg,SKU1001,19
2025-01-08,Wheat Flour 5kg,SKU1002,15
2025-01-08,Sugar 1kg,SKU1003,28
2025-01-08,Sunflower Oil 1L,SKU1004,6
2025-01-08,Milk 1L,SKU1005,39
2025-01-08,Tea Powder 500g,SKU1006,11
2025-01-08,Toothpaste 150g,SKU1007,8
2025-01-08,Bath Soap,SKU1008,21
2025-01-08,Shampoo Sachet,SKU1009,52
2025-01-08,Biscuit Pack,SKU1010,37
2025-01-09,Rice 5kg,SKU1001,21
2025-01-09,Wheat Flour 5kg,SKU1002,15
2025-01-09,Sugar 1kg,SKU1003,24
2025-01-09,Sunflower Oil 1L,SKU1004,16
2025-01-09,Milk 1L,SKU1005,41
2025-01-09,Tea Powder 500g,SKU1006,11
2025-01-09,Toothpaste 150g,SKU1007,13
2025-01-09,Bath Soap,SKU1008,20
2025-01-09,Shampoo Sachet,SKU1009,50
2025-01-09,Biscuit Pack,SKU1010,36
2025-01-10,Rice 5kg,SKU1001,21
2025-01-10,Wheat Flour 5kg,SKU1002,15
2025-01-10,Sugar 1kg,SKU1003,24
2025-01-10,Sunflower Oil 1L,SKU1004,15
2025-01-10,Milk 1L,SKU1005,42
2025-01-10,Tea Powder 500g,SKU1006,7
2025-01-10,Toothpaste 150g,SKU1007,11
2025-01-10,Bath Soap,SKU1008,28
2025-01-10,Shampoo Sachet,SKU1009,48
2025-01-10,Biscuit Pack,SKU1010,41
2025-01-11,Rice 5kg,SKU1001,22
2025-01-11,Wheat Flour 5kg,SKU1002,16
2025-01-11,Sugar 1kg,SKU1003,20
2025-01-11,Sunflower Oil 1L,SKU1004,15
2025-01-11,Milk 1L,SKU1005,49
2025-01-11,Tea Powder 500g,SKU1006,11
2025-01-11,Toothpaste 150g,SKU1007,12
2025-01-11,Bath Soap,SKU1008,21
2025-01-11,Shampoo Sachet,SKU1009,56
2025-01-11,Biscuit Pack,SKU1010,46
2025-01-12,Rice 5kg,SKU1001,26
2025-01-12,Wheat Flour 5kg,SKU1002,18
2025-01-12,Sugar 1kg,SKU1003,24
2025-01-12,Sunflower Oil 1L,SKU1004,13
2025-01-12,Milk 1L,SKU1005,42
2025-01-12,Tea Powder 500g,SKU1006,12
2025-01-12,Toothpaste 150g,SKU1007,6
2025-01-12,Bath Soap,SKU1008,29
2025-01-12,Shampoo Sachet,SKU1009,55
2025-01-12,Biscuit Pack,SKU1010,40
2025-01-13,Rice 5kg,SKU1001,20
2025-01-13,Wheat Flour 5kg,SKU1002,18
2025-01-13,Sugar 1kg,SKU1003,24
2025-01-13,Sunflower Oil 1L,SKU1004,17
2025-01-13,Milk 1L,SKU1005,45
2025-01-13,Tea Powder 500g,SKU1006,5
2025-01-13,Toothpaste 150g,SKU1007,11
2025-01-13,Bath Soap,SKU1008,25
2025-01-13,Shampoo Sachet,SKU1009,53
2025-01-13,Biscuit Pack,SKU1010,36
2025-01-14,Rice 5kg,SKU1001,21
2025-01-14,Wheat Flour 5kg,SKU1002,11
2025-01-14,Sugar 1kg,SKU1003,22
2025-01-14,Sunflower Oil 1L,SKU1004,14
2025-01-14,Milk 1L,SKU1005,43
2025-01-14,Tea Powder 500g,SKU1006,9
2025-01-14,Toothpaste 150g,SKU1007,10
2025-01-14,Bath Soap,SKU1008,17
2025-01-14,Shampoo Sachet,SKU1009,50
2025-01-14,Biscuit Pack,SKU1010,41
2025-01-15,Rice 5kg,SKU1001,15
2025-01-15,Wheat Flour 5kg,SKU1002,16
2025-01-15,Sugar 1kg,SKU1003,24
2025-01-15,Sunflower Oil 1L,SKU1004,14
2025-01-15,Milk 1L,SKU1005,35
2025-01-15,Tea Powder 500g,SKU1006,11
2025-01-15,Toothpaste 150g,SKU1007,8
2025-01-15,Bath Soap,SKU1008,24
2025-01-15,Shampoo Sachet,SKU1009,44
2025-01-15,Biscuit Pack,SKU1010,31
2025-01-16,Rice 5kg,SKU1001,21
2025-01-16,Wheat Flour 5kg,SKU1002,22
2025-01-16,Sugar 1kg,SKU1003,20
